Bab ,Kapasitas_Fungsional,Indikator,Pertanyaan,L1,L2,L3,L4,L5
Sumberdaya Manusia (SDM) – Individu,6.2. Pengetahuan,Sumber emisi dan aksi pengendalian emisi dari sektor perubahan penggunaan lahan (kehutanan dan lahan gambut),Sejauh mana pengetahuan terkait sumber emisi dari sektor perubahan penggunaan lahan upaya pengendaliannya?,Tidak memahami,Pernah mendapat informasi,Pernah terlibat dalam kegiatan sejenis,Beberapa kali terlibat dalam kegiatan sejenis,Telah terlibat dalam penyusuanan dokumen
Sumberdaya Manusia (SDM) – Individu,6.3. Keterampilan,Pengelolaan Data/Informasi,Sejauh mana kemampuan dalam pengelolaan data/informasi?,Tidak memiliki,(1) memiliki kemampuan dalam pengelolaan data sesuai dengan tugas,(1) memiliki kemampuan dalam pengelolaan data sesuai dengan tugas (2) menggunakan metode/teknologi terbaru,(1) memiliki kemampuan dalam pengelolaan data sesuai dengan tugas (2) menggunakan metode yang selama ini digunakan,(1) memiliki kemampuan dalam pengelolaan data sesuai dengan tugas (2) menggunakan metode/teknologi terbaru (3) berbasis internet
Sumberdaya Manusia (SDM) – Individu,6.3. Keterampilan,Analisis Menggunakan GIS,Sejauh mana kemampuan dalam menggunakan GIS? ,Tidak memiliki,(1) memahami konsep tentang GIS,"(1) memahami konsep tentang GIS, (2) Dapat menggunakan salah satu perangkat GIS","(1) memahami konsep tentang GIS, (2) Dapat menggunakan salah satu perangkat GIS, (3) dapat menampilkan data menggunakan GIS","(1) memahami konsep tentang GIS, (2) Dapat menggunakan salah satu perangkat GIS, (3) dapat menampilkan data menggunakan GIS, (4) dapat melakukan analisis menggunakan GIS"
Sumberdaya Manusia (SDM) – Individu,6.3. Keterampilan,Pengumpulan Data,Apakah memiliki kapasitas untuk mengumpulkan data?,Tidak memiliki kapasitas,Pernah terlibat dalam kegiatan yang menggunakan skill ini,Beberapa kali terlibat dalam kegiatan menggunakan skill ini,Sudah seringkali melakukan kegiatan ini,Selalu menggunakan skill ini
Sumberdaya Manusia (SDM) – Individu,6.3. Keterampilan,Identifikasi Sumber emisi,Apakah memiliki kapasitas untuk mengidentifikasi sumber-sumber emisi?,Tidak memiliki kapasitas,Pernah terlibat dalam kegiatan yang menggunakan skill ini,Beberapa kali terlibat dalam kegiatan menggunakan skill ini,Sudah seringkali melakukan kegiatan ini,Selalu menggunakan skill ini
Sumberdaya Manusia (SDM) – Individu,6.3. Keterampilan,Penghitungan emisi GRK,Apakah memiliki kapasitas luntuk melakukan perhitungan emisi GRK?,Tidak memiliki kapasitas,Pernah terlibat dalam kegiatan yang menggunakan skill ini,Beberapa kali terlibat dalam kegiatan menggunakan skill ini,Sudah seringkali melakukan kegiatan ini,Selalu menggunakan skill ini
Sumberdaya Manusia (SDM) – Individu,6.3. Keterampilan,Penyusunan Baseline,Apakah memiliki kapasitas untuk menentukan baseline emisi GRK?,Tidak memiliki kapasitas,Pernah terlibat dalam kegiatan yang menggunakan skill ini,Beberapa kali terlibat dalam kegiatan menggunakan skill ini,Sudah seringkali melakukan kegiatan ini,Selalu menggunakan skill ini
Sumberdaya Manusia (SDM) – Individu,6.3. Keterampilan,Mengidentifikasi kegiatan mitigasi/rendah karbon,Apakah memiliki kapasitas untuk menyusun aksi mitigasi/kegaiatn PRK?,Tidak memiliki kapasitas,Pernah terlibat dalam kegiatan yang menggunakan skill ini,Beberapa kali terlibat dalam kegiatan menggunakan skill ini,Sudah seringkali melakukan kegiatan ini,Selalu menggunakan skill ini
Sumberdaya Manusia (SDM) – Individu,6.3. Keterampilan,"Ex ante analys perhitungan dampak kegiatan rendah karbon /mitigasi terhadap emisi, dan sosial ekonomi",Apakah memiliki kapasitas melakukan perhitungan dampak kegiatan PRK?,Tidak memiliki kapasitas,Pernah terlibat dalam kegiatan yang menggunakan skill ini,Beberapa kali terlibat dalam kegiatan menggunakan skill ini,Sudah seringkali melakukan kegiatan ini,Selalu menggunakan skill ini
Sumberdaya Manusia (SDM) – Individu,6.3. Keterampilan,Penguasaan penggunaan software yang membantu dalam proses RAD GRK/PPRKD sesuai sektor,"Apakah memiliki kapasitas dalam menggunakan software yang membantu dalam proses RAD GRK/PPRKD (LUMENS, LEAP, RED-CLUW dan software alian)?",Tidak memiliki kapasitas,Pernah terlibat dalam kegiatan yang menggunakan software ini,Beberapa kali terlibat dalam kegiatan menggunakan software ini,Sudah seringkali menggunakan software ini,Selalu menggunakan software ini
Sumberdaya Manusia (SDM) – Individu,6.4. Pengembangan dan Motivasi,Kerjasama dalam kelembagaan,Sejauh mana kemampuan dalam melakukan kerjasama dalam kelembagaan?,Tidak memiliki kemampuan,Pernah memiliki pengalaam dalam kerja tim,Beberapa kali terlibat dalam pekerjasaan secara kerja tim,Seringkali kali terlibat dalam pekerjasaan secara kerja tim,Selalu melakukan tugas dengan bekerjasama sesuai TUSI-nya
Sumberdaya Manusia (SDM) – Individu,6.4. Pengembangan dan Motivasi,Pengembangan kompetensi,Adakah kegiatan pengembangan kompetensi yang diikuti?,Tidak ada,Pernah mengikuti,Beberapa kali mengikut kegiatan ditingkat nasional,Seringkali mengikuti kegiatan ditingkat nasional,Mengikuti program pengembangan kompetensi secara reguler
Sumberdaya Manusia (SDM) – Individu,6.4. Pengembangan dan Motivasi,Motivasi dalam Kegiatan Kajiulang RAD GRK /PPRKD,Bagaimana tingkat motivasi yang dimiliki oleh para anggota?,Tidak ada motivasi,Motivasi karena perintah dari atasan,Motivasi yang terbentuk karena menjalankan tugas yang diperintahkan,Motivasi dalam rangka menjalankan prosedur kerja yang sudah disepakati,Motivasi tinggi sebagai bagian dari tanggung jawab pembangunan
