BAB,Kapasitas_Fungsional,Indikator,Pertanyaan,L1,L2,L3,L4,L5
Proses,3.3. Tahapan,Tahapan/proses standar dalam proses Kaji Ulang RAD GRK /PPRKD,Bagaimana tahapan/proses standar dalam Kaji Ulang RAD GRK /PPRKD?,Tidak ada tahapan,Terdapat tahapan tetapi tidak diikuti prosesnya,Sekitar 50 % tahapan diikuti,Lebih 50 % tahapan diikuti,Terdapat tahapan yang diikuti secara terstruktur
Proses,3.4. Pelibatan Masyarakat,Tingkat pelibatan masyarakat dalam proses,Bagaimana pelibatan masyarakat dalam proses penyusunan Kaji Ulang RAD GRK /PPRKD?,Tidak melibatkan masyarakat,Pelibatan masyarakat hanya pada proses akhir dalam bentuk sosialisasi,Pelibatan masyarakat pada proses awal untuk menampung aspirasi masyarakat ,Pelibatan masyarakat pada proses awal untuk menampung aspirasi dan proses akhir dalam bentuk konsultasi publik,Pelibatan utuh masyarakat dalam setiap proses pelaksanaan Kaji Ulang RAD GRK/PPRKD
Proses,3.5. Proses pengarusutamaan,Proses mainstreaming Kaji Ulang RAD GRK /PPRKD kedalam rencana pembangunan daerah,Apakah Kaji Ulang RAD GRK /PPRKD telah terintegrasi dengan perencanaan pembangunan daerah?,Tidak ada integrasi,Kaji Ulang RAD GRK /PPRKD sedang dalam tahap mainstreaming,Terdepat sekitar 50 % program terintegrasi,Terdepat lebih dari 50 % program terintegrasi,Telah diimplementasikan dalam bentuk program/kegiatan
Data dan Informasi,7.1. Ketersediaan dan Aksesibilitas Data,Peta Administrasi,Apakah data ini tersedia dan dapat diakses dalam proses Kaji Ulang RAD GRK/PPRKD?,Tidak tersedia,Dalam tahap dikumpulkan/dibuat,"Tersedia, Tidak bisa diakses","Tersedia, dapat diakses secara terbatas",Dapat diakses secara publik
Data dan Informasi,7.1. Ketersediaan dan Aksesibilitas Data,RTRW,Apakah data ini tersedia dan dapat diakses dalam proses Kaji Ulang RAD GRK /PPRKD?,Tidak tersedia,Dalam tahap dikumpulkan/dibuat,"Tersedia, Tidak bisa diakses","Tersedia, dapat diakses secara terbatas",Dapat diakses secara publik
Data dan Informasi,7.1. Ketersediaan dan Aksesibilitas Data,Penunjukan Kawasan,Apakah data ini tersedia dan dapat diakses dalam proses Kaji Ulang RAD GRK /PPRKD?,Tidak tersedia,Dalam tahap dikumpulkan/dibuat,"Tersedia, Tidak bisa diakses","Tersedia, dapat diakses secara terbatas",Dapat diakses secara publik
Data dan Informasi,7.1. Ketersediaan dan Aksesibilitas Data,Peta tutupan lahan,Apakah data ini tersedia dan dapat diakses dalam proses Kaji Ulang RAD GRK /PPRKD?,Tidak tersedia,Dalam tahap dikumpulkan/dibuat,"Tersedia, Tidak bisa diakses","Tersedia, dapat diakses secara terbatas",Dapat diakses secara publik
Data dan Informasi,7.1. Ketersediaan dan Aksesibilitas Data,RPJP dan RPJMD,Apakah data ini tersedia dan dapat diakses dalam proses Kaji Ulang RAD GRK /PPRKD?,Tidak tersedia,Dalam tahap dikumpulkan/dibuat,"Tersedia, Tidak bisa diakses","Tersedia, dapat diakses secara terbatas",Dapat diakses secara publik
Data dan Informasi,7.1. Ketersediaan dan Aksesibilitas Data,Renstra,Apakah data ini tersedia dan dapat diakses dalam proses Kaji Ulang RAD GRK /PPRKD?,Tidak tersedia,Dalam tahap dikumpulkan/dibuat,"Tersedia, Tidak bisa diakses","Tersedia, dapat diakses secara terbatas",Dapat diakses secara publik
Data dan Informasi,7.1. Ketersediaan dan Aksesibilitas Data,Table Input-output,Apakah data ini tersedia dan dapat diakses dalam proses Kaji Ulang RAD GRK /PPRKD?,Tidak tersedia,Dalam tahap dikumpulkan/dibuat,"Tersedia, Tidak bisa diakses","Tersedia, dapat diakses secara terbatas",Dapat diakses secara publik
Data dan Informasi,7.1. Ketersediaan dan Aksesibilitas Data,Provinsi Dalam Angka,Apakah data ini tersedia dan dapat diakses dalam proses Kaji Ulang RAD GRK /PPRKD?,Tidak tersedia,Dalam tahap dikumpulkan/dibuat,"Tersedia, Tidak bisa diakses","Tersedia, dapat diakses secara terbatas",Dapat diakses secara publik
Data dan Informasi,7.1. Ketersediaan dan Aksesibilitas Data,Data Konsumsi energi setiap sektor,Apakah data ini tersedia dan dapat diakses dalam proses Kaji Ulang RAD GRK /PPRKD?,Tidak tersedia,Dalam tahap dikumpulkan/dibuat,"Tersedia, Tidak bisa diakses","Tersedia, dapat diakses secara terbatas",Dapat diakses secara publik
Data dan Informasi,7.1. Ketersediaan dan Aksesibilitas Data,Data Timbulan sampah setiap sektor,Apakah data ini tersedia dan dapat diakses dalam proses Kaji Ulang RAD GRK /PPRKD?,Tidak tersedia,Dalam tahap dikumpulkan/dibuat,"Tersedia, Tidak bisa diakses","Tersedia, dapat diakses secara terbatas",Dapat diakses secara publik
Data dan Informasi,7.1. Ketersediaan dan Aksesibilitas Data,Data Kebutuhan lahan pengembangan masing-masing sektor,Apakah data ini tersedia dan dapat diakses dalam proses Kaji Ulang RAD GRK /PPRKD?,Tidak tersedia,Dalam tahap dikumpulkan/dibuat,"Tersedia, Tidak bisa diakses","Tersedia, dapat diakses secara terbatas",Dapat diakses secara publik
Data dan Informasi,7.1. Ketersediaan dan Aksesibilitas Data,Data Aksi mitigasi sektor berbasis lahan,Apakah data ini tersedia dan dapat diakses dalam proses Kaji Ulang RAD GRK /PPRKD?,Tidak tersedia,Dalam tahap dikumpulkan/dibuat,"Tersedia, Tidak bisa diakses","Tersedia, dapat diakses secara terbatas",Dapat diakses secara publik
Data dan Informasi,7.1. Ketersediaan dan Aksesibilitas Data,Data Aksi mitigasi sektor energi,Apakah data ini tersedia dan dapat diakses dalam proses Kaji Ulang RAD GRK /PPRKD?,Tidak tersedia,Dalam tahap dikumpulkan/dibuat,"Tersedia, Tidak bisa diakses","Tersedia, dapat diakses secara terbatas",Dapat diakses secara publik
Data dan Informasi,7.1. Ketersediaan dan Aksesibilitas Data,Data Aksi mitigasi sektor pengelolaan limbah,Apakah data ini tersedia dan dapat diakses dalam proses Kaji Ulang RAD GRK /PPRKD?,Tidak tersedia,Dalam tahap dikumpulkan/dibuat,"Tersedia, Tidak bisa diakses","Tersedia, dapat diakses secara terbatas",Dapat diakses secara publik
Data dan Informasi,7.1. Ketersediaan dan Aksesibilitas Data,Data jumlah pekerja tiap sektor,Apakah data ini tersedia dan dapat diakses dalam proses Kaji Ulang RAD GRK /PPRKD?,Tidak tersedia,Dalam tahap dikumpulkan/dibuat,"Tersedia, Tidak bisa diakses","Tersedia, dapat diakses secara terbatas",Dapat diakses secara publik
Data dan Informasi,7.1. Ketersediaan dan Aksesibilitas Data,Draft 0 Kaji Ulang RAD GRK; Perhitungan Baseline dan Penurunan emisi dari semua sektor,Apakah data ini tersedia dan dapat diakses dalam proses Kaji Ulang RAD GRK /PPRKD?,Tidak tersedia,Dalam tahap dikumpulkan/dibuat,"Tersedia, Tidak bisa diakses","Tersedia, dapat diakses secara terbatas",Dapat diakses secara publik
Data dan Informasi,7.1. Ketersediaan dan Aksesibilitas Data,Laporan Kinerja Pemerintah Daerah/LAKIP/Laptah,Apakah data ini tersedia dan dapat diakses dalam proses Kaji Ulang RAD GRK /PPRKD?,Tidak tersedia,Dalam tahap dikumpulkan/dibuat,"Tersedia, Tidak bisa diakses","Tersedia, dapat diakses secara terbatas",Dapat diakses secara publik
Data dan Informasi,7.1. Ketersediaan dan Aksesibilitas Data,Laporan Pelaksanaan program RAD GRK (Tahun 2012),Apakah data ini tersedia dan dapat diakses dalam proses Kaji Ulang RAD GRK /PPRKD?,Tidak tersedia,Dalam tahap dikumpulkan/dibuat,"Tersedia, Tidak bisa diakses","Tersedia, dapat diakses secara terbatas",Dapat diakses secara publik
Data dan Informasi,7.1. Ketersediaan dan Aksesibilitas Data,Berbagai informasi terkait masterplan atau rencana pembangunan daerah,Apakah data ini tersedia dan dapat diakses dalam proses Kaji Ulang RAD GRK /PPRKD?,Tidak tersedia,Dalam tahap dikumpulkan/dibuat,"Tersedia, Tidak bisa diakses","Tersedia, dapat diakses secara terbatas",Dapat diakses secara publik
Data dan Informasi,7.2. Kualitas Data,Peta administrasi,Apakah kualitas data memadai untuk digunakan dalam proses Kaji Ulang RAD GRK/PPRKD?,Tidak memenuhi kualitas,Diperlukan data pembanding dan pengolahan data lebih lanjut,Data dapat digunakan dengan pengolahan mayor,Data dapat digunakan dengan pengolahan minor,Dapat langsung digunakan dengan kualitas baik
Data dan Informasi,7.2. Kualitas Data,RTRW,Apakah kualitas data memadai untuk digunakan dalam proses Kaji Ulang RAD GRK/PPRKD?,Tidak memenuhi kualitas,Diperlukan data pembanding dan pengolahan data lebih lanjut,Data dapat digunakan dengan pengolahan mayor,Data dapat digunakan dengan pengolahan minor,Dapat langsung digunakan dengan kualitas baik
Data dan Informasi,7.2. Kualitas Data,Penunjukan Kawasan,Apakah kualitas data memadai untuk digunakan dalam proses Kaji Ulang RAD GRK/PPRKD?,Tidak memenuhi kualitas,Diperlukan data pembanding dan pengolahan data lebih lanjut,Data dapat digunakan dengan pengolahan mayor,Data dapat digunakan dengan pengolahan minor,Dapat langsung digunakan dengan kualitas baik
Data dan Informasi,7.2. Kualitas Data,Peta tutupan lahan,Apakah kualitas data memadai untuk digunakan dalam proses Kaji Ulang RAD GRK/PPRKD?,Tidak memenuhi kualitas,Diperlukan data pembanding dan pengolahan data lebih lanjut,Data dapat digunakan dengan pengolahan mayor,Data dapat digunakan dengan pengolahan minor,Dapat langsung digunakan dengan kualitas baik
Data dan Informasi,7.2. Kualitas Data,RPJP dan RPJMD,Apakah kualitas data memadai untuk digunakan dalam proses Kaji Ulang RAD GRK/PPRKD?,Tidak memenuhi kualitas,Diperlukan data pembanding dan pengolahan data lebih lanjut,Data dapat digunakan dengan pengolahan mayor,Data dapat digunakan dengan pengolahan minor,Dapat langsung digunakan dengan kualitas baik
Data dan Informasi,7.2. Kualitas Data,Renstra,Apakah kualitas data memadai untuk digunakan dalam proses Kaji Ulang RAD GRK/PPRKD?,Tidak memenuhi kualitas,Diperlukan data pembanding dan pengolahan data lebih lanjut,Data dapat digunakan dengan pengolahan mayor,Data dapat digunakan dengan pengolahan minor,Dapat langsung digunakan dengan kualitas baik
Data dan Informasi,7.2. Kualitas Data,Table Input-output,Apakah kualitas data memadai untuk digunakan dalam proses Kaji Ulang RAD GRK/PPRKD?,Tidak memenuhi kualitas,Diperlukan data pembanding dan pengolahan data lebih lanjut,Data dapat digunakan dengan pengolahan mayor,Data dapat digunakan dengan pengolahan minor,Dapat langsung digunakan dengan kualitas baik
Data dan Informasi,7.2. Kualitas Data,Provinsi Dalam Angka,Apakah kualitas data memadai untuk digunakan dalam proses Kaji Ulang RAD GRK/PPRKD?,Tidak memenuhi kualitas,Diperlukan data pembanding dan pengolahan data lebih lanjut,Data dapat digunakan dengan pengolahan mayor,Data dapat digunakan dengan pengolahan minor,Dapat langsung digunakan dengan kualitas baik
Data dan Informasi,7.2. Kualitas Data,Data Konsumsi energi setiap sektor,Apakah kualitas data memadai untuk digunakan dalam proses Kaji Ulang RAD GRK/PPRKD?,Tidak memenuhi kualitas,Diperlukan data pembanding dan pengolahan data lebih lanjut,Data dapat digunakan dengan pengolahan mayor,Data dapat digunakan dengan pengolahan minor,Dapat langsung digunakan dengan kualitas baik
Data dan Informasi,7.2. Kualitas Data,Data Timbulan sampah setiap sektor,Apakah kualitas data memadai untuk digunakan dalam proses Kaji Ulang RAD GRK/PPRKD?,Tidak memenuhi kualitas,Diperlukan data pembanding dan pengolahan data lebih lanjut,Data dapat digunakan dengan pengolahan mayor,Data dapat digunakan dengan pengolahan minor,Dapat langsung digunakan dengan kualitas baik
Data dan Informasi,7.2. Kualitas Data,Data Kebutuhan lahan pengembangan masing-masing sektor,Apakah kualitas data memadai untuk digunakan dalam proses Kaji Ulang RAD GRK/PPRKD?,Tidak memenuhi kualitas,Diperlukan data pembanding dan pengolahan data lebih lanjut,Data dapat digunakan dengan pengolahan mayor,Data dapat digunakan dengan pengolahan minor,Dapat langsung digunakan dengan kualitas baik
Data dan Informasi,7.2. Kualitas Data,Data Aksi mitigasi sektor berbasis lahan,Apakah kualitas data memadai untuk digunakan dalam proses Kaji Ulang RAD GRK/PPRKD?,Tidak memenuhi kualitas,Diperlukan data pembanding dan pengolahan data lebih lanjut,Data dapat digunakan dengan pengolahan mayor,Data dapat digunakan dengan pengolahan minor,Dapat langsung digunakan dengan kualitas baik
Data dan Informasi,7.2. Kualitas Data,Data Aksi mitigasi sektor energi,Apakah kualitas data memadai untuk digunakan dalam proses Kaji Ulang RAD GRK/PPRKD?,Tidak memenuhi kualitas,Diperlukan data pembanding dan pengolahan data lebih lanjut,Data dapat digunakan dengan pengolahan mayor,Data dapat digunakan dengan pengolahan minor,Dapat langsung digunakan dengan kualitas baik
Data dan Informasi,7.2. Kualitas Data,Data Aksi mitigasi sektor pengelolaan limbah,Apakah kualitas data memadai untuk digunakan dalam proses Kaji Ulang RAD GRK/PPRKD?,Tidak memenuhi kualitas,Diperlukan data pembanding dan pengolahan data lebih lanjut,Data dapat digunakan dengan pengolahan mayor,Data dapat digunakan dengan pengolahan minor,Dapat langsung digunakan dengan kualitas baik
Data dan Informasi,7.2. Kualitas Data,Data jumlah pekerja tiap sektor,Apakah kualitas data memadai untuk digunakan dalam proses Kaji Ulang RAD GRK/PPRKD?,Tidak memenuhi kualitas,Diperlukan data pembanding dan pengolahan data lebih lanjut,Data dapat digunakan dengan pengolahan mayor,Data dapat digunakan dengan pengolahan minor,Dapat langsung digunakan dengan kualitas baik
Data dan Informasi,7.2. Kualitas Data,Draft O Kaji Ulang RAD GRK; Perhitungan Baseline dan Penurunan emisi dari semua sektor,Apakah kualitas data memadai untuk digunakan dalam proses Kaji Ulang RAD GRK/PPRKD?,Tidak memenuhi kualitas,Diperlukan data pembanding dan pengolahan data lebih lanjut,Data dapat digunakan dengan pengolahan mayor,Data dapat digunakan dengan pengolahan minor,Dapat langsung digunakan dengan kualitas baik
Data dan Informasi,7.2. Kualitas Data,Laporan Kinerja Pemerintah Daerah,Apakah kualitas data memadai untuk digunakan dalam proses Kaji Ulang RAD GRK/PPRKD?,Tidak memenuhi kualitas,Diperlukan data pembanding dan pengolahan data lebih lanjut,Data dapat digunakan dengan pengolahan mayor,Data dapat digunakan dengan pengolahan minor,Dapat langsung digunakan dengan kualitas baik
Data dan Informasi,7.2. Kualitas Data,Laporan Pelaksanaan program RAD GRK (Tahun 2012),Apakah kualitas data memadai untuk digunakan dalam proses Kaji Ulang RAD GRK/PPRKD?,Tidak memenuhi kualitas,Diperlukan data pembanding dan pengolahan data lebih lanjut,Data dapat digunakan dengan pengolahan mayor,Data dapat digunakan dengan pengolahan minor,Dapat langsung digunakan dengan kualitas baik
Data dan Informasi,7.2. Kualitas Data,Berbagai informasi terkait masterplan atau rencana pembangunan daerah,Apakah kualitas data memadai untuk digunakan dalam proses Kaji Ulang RAD GRK/PPRKD?,Tidak memenuhi kualitas,Diperlukan data pembanding dan pengolahan data lebih lanjut,Data dapat digunakan dengan pengolahan mayor,Data dapat digunakan dengan pengolahan minor,Dapat langsung digunakan dengan kualitas baik
Data dan Informasi,7.3. Pengelolaan Data,Keterpaduan Pengelolaan Data,Apakah sudah ada mekanisme pengelolaan data secara terpadu?,Data tersebar,Data terkumpul pada masing-masing bidang dan sub bidang OPD,Data terkumpul pada masing-masing OPD,Terdapat pusat data secara offline,Terdapat Geoportal yang telah terkoneksi dengan jaringan nasional dan telah mendapatkan pengakuan KL/lembaga terkait
Data dan Informasi,7.3. Pengelolaan Data,Berbagi Pakai Data,Bagaimana aturan dalam penggunaan data?,Tidak ada aturan,Diatur oleh masing-masing bidang dan sub bidang OPD,Diatur masing-masing oleh OPD,Diatur antar OPD pada kegiatan tertentu dan temporer,Telah disepakati aturan/SOP berbagi pakai data
Pemantauan Evaluasi dan Pelaporan,9.1. Muatan/Substansi,Ketepatan materi PEP dengan dokumen RAD GRK/PPRK,Apakah materi pelaporan PEP sejalan dengan dokumen RAD GRK/PPRK?,Tidak,Sebagian kecil merupakan program/kegiatan yang terdapat dalam dokumen.,Sekitar 50 % program/kegiatan merupakan program/kegiatan dalam dokumen,Lebih dari 50 % program/kegiatan merupakan program/kegiatan dalam dokumen,Keseluruhan merupakan program/kegiatan dalam dokumen
Pemantauan Evaluasi dan Pelaporan,9.1. Muatan/Substansi,Kelengkapan Materi Pelaporan,Bagaimana kelengkapan materi pelaporan?,Tidak dilaporkan,Tidak lengkap,Sekitar 50 % program/kegiatan dilaporkan setiap periode tahun pelaporan,Lebih dari 50 % program/kegiatan dilaporkan setiap periode tahun pelaporan,Keseluruhan program/kegiatan dilaporkan setiap periode tahun pelaporan
Pemantauan Evaluasi dan Pelaporan,9.1. Muatan/Substansi,Kualitas Data,Bagaimana kualitas data yang dilaporkan ?,Tidak diketahui,Data diambil dari dokumen pelaporan kegiatan,"Data diambil dari dokumen pelaporan kegiatan, disertai dokumen pendukung","Data diambil dari dokumen pelaporan kegiatan, disertai dokumen pendukung dan data lapangan","Data diambil dari dokumen pelaporan kegiatan, disertai dokumen pendukung, data lapangan, dan diverifikasi oleh pelaksana langsung"
Pemantauan Evaluasi dan Pelaporan,9.1. Muatan/Substansi,Dokumen Pendukung,Apakah pelaporan PEP dilengkapi dengan data pendukung?,Tidak ada data pendukung,Sebagian kecil program/kegiatan memiliki data pendukung,Sekitar 50 % program/kegiatan memiliki data pendukung,Lebih dari 50 % program/kegiatan memiliki data pendukung,Semua program memiliki data pendukung
Pemantauan Evaluasi dan Pelaporan,9.1. Muatan/Substansi,Data/Informasi Lapangan,Apakah pelaporan PEP dilengkapi dengan data lapangan?,Tidak ada data lapangan,Sebagian kecil program/kegiatan memiliki data lapangan,Sekitar 50 % program/kegiatan memiliki data lapangan,Lebih dari 50 % program/kegiatan memiliki data lapangan,Semua program memiliki data lapangan
Pemantauan Evaluasi dan Pelaporan,9.2. Pelaksanaan,Ketepatan waktu pelaporan,Bagaimana ketepatan waktu pelaporan 2010-2018?,Tidak tepat waktu,Pernah tepat waktu pada suatu periode pelaporan,Sekitar 50 % periode pelaporan sudah diserahkan secara tepat waktu,Lebih dari 50 % periode pelaporan sudah diserahkan secara tepat waktu,Tepat waktu selama periode pelaporan
Pemantauan Evaluasi dan Pelaporan,9.2. Pelaksanaan,Pelaksanaan teknis,Apakah Kegiatan PEP sudah dilaksanakan secara regular?,Belum menyerahkan laporan hingga saat ini,Sudah menyerahkan laporan setidaknya satu tahun periode pelaporan,Sudah menyerahkan laporan sekitar 50 % dari periode pelaporan yang diminta,Sudah menyerahkan laporan lebih dari 50 % dari periode pelaporan yang diminta,Telah menyerahkan laporan secara reguler
Pemantauan Evaluasi dan Pelaporan,9.2. Pelaksanaan,Sistematika/prosedur pelaksanaan,Apakah terdapat prosedur pelaksanaan standar yang dilaksanakan?,Tidak ada,Melalui himbauan secara lisan,Melalui surat resmi yang diberikan secara insidental,Melalui surat yang diberikan secara berkala,Mengacu kepada prosedur yang telah disepakti bersama
Pemantauan Evaluasi dan Pelaporan,9.2. Pelaksanaan,Dukungan Kebijakan,Bagaimana dukungan pemerintah (OPD) dalam pelaksanaan PEP?,Tidak ada,Dukungan dalam bentuk pendanaan pada sebagian kecil kegiatan,Sekitar 50% dari kegiatan mendapatkan penganggaran kegiatan,Lebih dari 50% dari kegiatan mendapatkan penganggaran kegiatan,Seluruh kegiatan mendapatkan penganggaran
Pemantauan Evaluasi dan Pelaporan,9.2. Pelaksanaan,Penguasaan perangkat bantu,Apakah alat bantu dan sistem online PEP sudah digunakan secara memadai?,Tidak memiliki kapasitas,Hanya penanggung jawab yang dapat menggunakan,Sekitar 50% dari anggota teknis dapat menggunakan perangkat bantu,Lebih dari 50% dari anggota teknis dapat menggunakan perangkat bantu,Semua anggota teknis mampu menggunakan secara sempurna
Pemantauan Evaluasi dan Pelaporan,9.3. Pelaksana,Pelaksana PEP,Siapakah Pelaksana PEP di Provinsi?,Tidak ada bagian/unit/kelompok khusus,Dilakukan oleh satu OPD,Beberapa tenaga teknis yang ditugaskan secara khusus,Kelompok kerja yang bekerja secara insidental,Kelompok kerja yang bekerja secara reguler
Pemantauan Evaluasi dan Pelaporan,9.3. Pelaksana,Keterlibatan Kabupaten,Apakah OPD Kabupaten terlibat dalam proses PEP?,Tidak ada keterlibatan kabupaten,Kabupaten memberikan data yang diminta,Lebih dari 50 % dari program/ kegiatan yang dilaporkan berasal dari kabupaten,Lebih dari 50 % dari program/ kegiatan yang dilaporkan berasal dari kabupaten,Kabupaten terlibat secara aktif dalam meyerahkan laporan secara reguler
Pemantauan Evaluasi dan Pelaporan,9.3. Pelaksana,Keterlibatan Sektor Swasta,Apakah kegiatan dari sektor swasta sudah dilaporkan?,Tidak ada pelaporan dari swasta,Pelaporan kegiatan PPRKD masih sedikit dilaporkan,Sekitar 50 % kegiatan dari swasta sudah dilaporkan,Lebih dari 50 % kegiatan dari swasta sudah dilaporkan,Pelaporan dari swasta secara reguler
