BAB,Kapasitas_Fungsional,Indikator,Pertanyaan,L1,L2,L3,L4,L5
Perangkat Pelaksana/Kelembagaan,4.4. Prosedur/Proses Kerja dan Pengelolaan lembaga,Kapasitas Teknis dalam mengembangkan RAD GRK/PPRKD,"Apakah tersedia kompetensi teknis secara kolektif terkait penguasaan paltform/tools untuk Perencanaan, Pemantauan dan Evaluasi RAD GRK/PPRKD?",Tidak ada,Penguasaan teori belum dengan praktek,Sekitar 50 % anggota teknis memiliki kapasitas,Lebih dari 50 % anggota teknis memiliki kapasitas,Kompetensi yang memadai dalam penguasaan platform dan tools
Perangkat Pelaksana/Kelembagaan,4.5. Budgeting,Dukungan Keuangan,Sejauh mana dukungan finansial terhadap RAD GRK/PPRKD?,Tidak ada dukungan finansial,Dukungan dari masing-masing OPD dari kegiatan lain,Sekitar 50 % kebutuhan diperoleh dari dukungan finansial APBD,Lebih dari 50 % kebutuhan diperoleh dari dukungan finansial APBD,Adanya dukungan finansial dari APBD secara khusus
Perangkat Pelaksana/Kelembagaan,4.5. Budgeting,"Pengelolaan Keuangan Internal (perencanaan, penggunaan, dan pelaporan)","Bagaimana pengelolaan keuangan internal (perencanaan, penggunaan, dan pelaporan) dilakukan? ",Tidak ada perencanaan keuangan,Kurang dari 10 % anggaran telah direncanakan penggunaanya,Sekitar 50 % anggaran telah direncanakan penggunaanya,Lebih dari 50 % anggaran telah direncanakan penggunaanyaan,"Pengelolaan keuangan sudah direncanakan,digunakan dan dilaporkan"
Perangkat Pelaksana/Kelembagaan,4.5. Budgeting,Konsistensi dalam penganggaran RAD GRK/PPRKD,Apakah terdapat alokasi anggaran dalam APBD terkait program RAD GRK/PPRKD yang cukup selama lima tahun terakhir?,Belum dialokasikan,Sedang diusulkan,Pernah teralokasikan,Dialokasikan pada tahun-tahun tertentu,Dialokasikan secara rutin dengan jumlah yang memadai
Perangkat Pelaksana/Kelembagaan,4.6. Hubungan Internal,Relasi Unsur Kebijakan dan Teknis,Apakah sesama anggota memiliki mekanisme/SOP sebagai upaya untuk membangun relasi internal?,Tidak ada mekanisme/SOP,Sedang dibuat mekanisme,Sekitar 50 % anggota mematuhi mekanisme,Lebih 50 % anggota mematuhi mekanisme,Anggota mematuhi mekanisme/ SOP terkait mekanisme yang efektif
Perangkat Pelaksana/Kelembagaan,4.6. Hubungan Internal,Team Building,Bagaimana pelaksanaan kerjasama dan koordinasi dalam tim?,Tidak ada kerjasama/koordinasi,Kerjasama/koordinasi dilakukan oleh sebagian kecil anggota,Sekitar 50 % anggota melakukan koordinasi/kerjasama,Lebih 50 % anggota melakukan koordinasi/kerjasama,Kerjasama dan koordinasi dilakukan oleh semua anggota
Perangkat Pelaksana/Kelembagaan,4.7. Networking/Hubungan Eksternal,Mekanisme Standar Kerjasama Eksternal,Apakah terdapat mekanisme kerjasama dengan pihak eksternal yang terstruktur dan terorganisasi dengan baik?,Tidak memiliki mekanisme dan tidak melakukan kerjasama eksternal,Memiliki mekanisme tetapi tidak belum dilaksanakan,Sekitar 50 % kegiatan telah dikerjakan melalui mekanisme kerjasama,Lebih 50 % kegiatan telah dikerjakan melalui mekanisme kerjasama,Memiliki mekanisme kerjasama dan melakukan kerjasama eksternal dan terorganisir dengan baik
Perangkat Pelaksana/Kelembagaan,4.7. Networking/Hubungan Eksternal,Proses kerja dengan Institusi eksternal,"Apakah ada proses konsultasi secara intensif yang memperhatikan keterwakilan swasta, akademisi dan masyarakat sipil secara lengkap?",Tidak ada proses konsultatif dengan institusi eksternal,Ada proses konsultatif yang diwakili oleh kurang dari 10 % anggota,Konsultasi dilakukan pada sekitar 50 % dari anggota perwakilan yang terlibat,Konsultasi dilakukan pada lebih dari 50 % anggota perwakilan yang terlibat,"Ada proses konsultatif secara umum dan keterwakilan swasta, akademisi dan masyarakat sipil secara lengkap"
Perangkat Pelaksana/Kelembagaan,4.7. Networking/Hubungan Eksternal,Kerjasama penyelenggaraan dan pemanfaatan data dan informasi dengan BPS,Apakah ada kerjasama penyelenggaraan dan pemanfaatan data dengan BPS?,Tidak ada,Sedang dirintis,Sekitar 50 % kebutuhan data disediakan oleh BPS,Lebih dari 50 % kebutuhan data disediakan oleh BPS,Sudah dilaksanakan kerjasama penyelenggaraan dan pemanfaatan data dengan BPS
Perangkat Pelaksana/Kelembagaan,4.7. Networking/Hubungan Eksternal,Kerjasama dengan BPN/ATR,Apakah ada kerjasama dengan BPN/ATR ?,Tidak ada,Sedang dirintis,Sekitar 50 % kebutuhan data disediakan oleh BPN,Lebih dari 50 % kebutuhan data disediakan oleh BPN,Sudah dilaksanakan kerjasama penyelenggaraan dan pemanfaatan data dengan BPN/ATR
Perangkat Pelaksana/Kelembagaan,4.7. Networking/Hubungan Eksternal,Kerjasama dengan Penghubung Simpul Jaringan Provinsi/Nasional,Apakah ada kerjasama dengan Penghubung Simpul Jaringan Provinsi/Nasional?,Tidak ada,Sedang dirintis,Sekitar 50 % kebutuhan data disediakan melalui Simpul jaringan,Lebih dari 50 % kebutuhan data disediakan melalui Simpul jaringan,Sudah dilaksanakan kerjasama dengan Penghubung Simpul Jaringan Provinsi/Nasional
Perangkat Pelaksana/Kelembagaan,4.7. Networking/Hubungan Eksternal,Kerjasama dengan Pusat Pengembangan Infrastruktur Data Spasial (PPIDS),Apakah ada kerjasama dengan Pusat Pengembangan Infrastruktur Data Spasial (PPIDS) ?,Tidak ada,Sedang dirintis,Sekitar 50 % kebutuhan data disediakan melalui PPIDS,Lebih dari 50 % kebutuhan data disediakan melalui PPIDS,Sudah dilaksanakan kerjasama dengan Pusat Pengembangan Infrastruktur Data Spasial (PPIDS)
Perangkat Pelaksana/Kelembagaan,4.7. Networking/Hubungan Eksternal,Kerjasama dengan unsur mitra pembangunan dan lembaga donor,Apakah ada kerjasama dengan unsur mitra pembangunan dan lembaga donor?,Tidak ada,Sedang dirintis,Sekitar 50 % kegiatan dilakukan bersama mitra,Lebih dari 50 % kegiatan dilakukan bersama mitra,Sudah dilaksanakan kerjasama dengan unsur mitra pembangunan dan lembaga donor secara komprehensif
Sumber Daya Manusia (SDM),5.1. Teknis,Pengumpulan Data,Apakah lembaga memiliki kapasitas untuk mengumpulkan data?,Tidak ada,Sedikit anggota yang memilik kapasitas,Sekitar 50 % dari anggota memiliki kapasitas tersebut,Lebih dari 50 % dari anggota memiliki kapasitas tersebut,Semua anggota memiliki kapasitas
Sumber Daya Manusia (SDM),5.1. Teknis,Identifikasi sumber emisi,Apakah lembaga memiliki kapasitas untuk mengidentifikasi sumber-sumber emisi?,Tidak ada,Sedikit anggota yang memilik kapasitas,Sekitar 50 % dari anggota memiliki kapasitas tersebut,Lebih dari 50 % dari anggota memiliki kapasitas tersebut,Semua anggota memiliki kapasitas
Sumber Daya Manusia (SDM),5.1. Teknis,Penghitungan emisi GRK,Apakah lembaga memiliki kapasitas untuk melakukan perhitungan emisi GRK?,Tidak ada,Sedikit anggota yang memilik kapasitas,Sekitar 50 % dari anggota memiliki kapasitas tersebut,Lebih dari 50 % dari anggota memiliki kapasitas tersebut,Semua anggota memiliki kapasitas
Sumber Daya Manusia (SDM),5.1. Teknis,Penyusunan Baseline,Apakah lembaga memiliki kapasitas untuk menentukan baseline emisi GRK?,Tidak ada,Sedikit anggota yang memilik kapasitas,Sekitar 50 % dari anggota memiliki kapasitas tersebut,Lebih dari 50 % dari anggota memiliki kapasitas tersebut,Semua anggota memiliki kapasitas
Sumber Daya Manusia (SDM),5.1. Teknis,Mengidentifikasi kegiatan mitigasi/rendah karbon,Apakah lembaga memiliki kapasitas untuk menyusun aksi mitigasi/kegaiatn PRK?,Tidak ada,Sedikit anggota yang memilik kapasitas,Sekitar 50 % dari anggota memiliki kapasitas tersebut,Lebih dari 50 % dari anggota memiliki kapasitas tersebut,Semua anggota memiliki kapasitas
Sumber Daya Manusia (SDM),5.1. Teknis,"Ex ante analys perhitungan dampak kegiatan rendah karbon /mitigasi terhadap emisi, dan sosial ekonomi",Apakah lembaga memiliki kapasitas melakukan perhitungan dampak kegiatan PRK?,Tidak ada,Sedikit anggota yang memilik kapasitas,Sekitar 50 % dari anggota memiliki kapasitas tersebut,Lebih dari 50 % dari anggota memiliki kapasitas tersebut,Semua anggota memiliki kapasitas
Sumber Daya Manusia (SDM),5.1. Teknis,Pengusaaan penggunaan software yang membantu dalam proses RAD GRK/PPRKD,Apakah lembaga memiliki kapasitas dalam menggunakan software yang membantu dalam proses RAD GRK/PPRKD?,Tidak ada,Sedikit anggota yang memilik kapasitas,Sekitar 50 % dari anggota memiliki kapasitas tersebut,Lebih dari 50 % dari anggota memiliki kapasitas tersebut,Semua anggota memiliki kapasitas
Sumber Daya Manusia (SDM),5.2. Mainstreaming,Keberhasilan proses mainstreaming kedalam perencanaan daerah,Apakah proses pengarusutamaan dapat dilakukan?,Tidak dapat dilakukan,Sedikit dari usulan kegiatan yang dimainstraming,Sekitar 50 % dapat di mainstreaming,Lebih dari 50 % dapat di mainstreaming,Semua usulan kegiatan dapat dimainstraming
Sumber Daya Manusia (SDM),5.3. Penulisan dan Pelaporan,Kapasitas untuk melakukan penulisan secara memadai,Apakah kelembagaan memiliki kapasitas untuk melakukan penulisan dan pelaporan secara memadai?,Tidak ada,Sedikit dari anggota yang dapat menyusun laporan,Sekitar 50 % anggota dapat menyusun laporan,Lebih dari 50 % anggota dapat menyusun laporan,Kelembagaan menulis semua dokumen dan laporan yang diperlukan
Sumber Daya Manusia (SDM),5.4. Dinamika Organisasi,Intensitas Kegiatan dalam Kelembagaan.,Sejauh mana kelembagaan melaksanakan kegiatan pokok terkait dengan implementasi program?,Tidak Aktif,Melakukan kegiatan secara incidental/tidak terencana,Melakukan sekitar 50 % rencana kegiatan,Melakukan lebih dari 50 % rencana kegiatan,Melakukan kegiatan sangat intensif dan secara regular
Sumber Daya Manusia (SDM),5.4. Dinamika Organisasi,Kapasitas organisasi dalam mengemban fungsi pelaksanan RAD GRK/PPRKD,Sejauh mana kelembagaan dapat melaksanakan program/kegiatan terkait RAD GRK/PPRKD?,Tidak memiliki kemampuan,Memilik kemampuan yang sangat tebatas,Melaksanakan sekitar 50 % dari tugasnya,Melaksanakan lebih dari 50 % dari tugasnya,Sudah cukup mampu menyusun dan melaksanakan program/kegiatan terkait RAD GRK/PPRKD
Sumber Daya Manusia (SDM),5.5. Peningkatan Kapasitas,Keikutsertaan staff dalam kegiatan kursus,Apakah ada keikutsertaan staff dalam kegiatan kursus bidang terkait ?,Tidak ada,Ada keikutsertaan tetapi sangat jarang,Sekitar 50 % dari anggota telah mengikuti kursus,Lebih dari 50 % dari anggota telah mengikuti kursus,Mengikuti kursus secara reguler
Sumber Daya Manusia (SDM),5.5. Peningkatan Kapasitas,Memiliki program pengembangan kemampuan (misalnya melalui kursus atau pelatihan atau seminar) bagi staf yang mendukung proses PPRKD dan implementasinya secara berkelanjutan dan terprogram secara rutin,"Apakah kelembagaan ini memiliki program pengembangan kemampuan (seperti kursus, pelatihan, atau seminar) bagi anggota yang mendukung proses PPRKD dan implementasinya secara berkelanjutan dan terprogram secara rutin?",Tidak ada,Ada program akan tetapi sifatnya tentatif,Sekitar 50 % dari anggota telah mengikuti kursus internal,Lebih dari 50 % dari anggota telah mengikuti kursus secara internal,Ada beberapa program yang diselenggarakan secara bertahap dan intensif
Teknologi,8.1. Perangkat Lunak,Pengolahan dan Pengelolaan Data menggunaan data software opensources/berbayar,Apakah organisasi telah memiliki dan menggunakan software pengelolaan data?,Belum ada,Sedang diupayakan untuk dimiliki,Sudah ada tetapi belum digunakan.,Sudah ada tetapi masih digunakan secara terbatas,Sudah ada dan digunakan secara optimal (menggunakan sebagaian besar fasilitas yang disediakan)
Teknologi,8.1. Perangkat Lunak,Pengolahan dan Pengelolaan Data Penginderaan Jauh,Apakah organisasi telah memiliki dan menggunakan software pengelolaan data penginderaan jauh yang memadai? ,Belum ada,Sedang diupayakan untuk dimiliki,Sudah ada tetapi belum digunakan.,Sudah ada tetapi masih digunakan secara terbatas,Sudah ada dan digunakan secara optimal (menggunakan sebagaian besar fasilitas yang disediakan)
Teknologi,8.1. Perangkat Lunak,Simulasi dan Perkiraan dampak (ex ante analysis),"Apakah organisasi telah memiliki dan menggunakan perangkat untuk melakukan simulasi dan ex-ante analysis (indikator emisi GRK, sosial-ekonomi?  seperti LUMENS, LEAP, RED-CLUW dan software lain yang digunakan dalam perhitungan RAD GRK/PPRKD?",Belum ada,Sedang diupayakan untuk dimiliki,Sudah ada tetapi belum digunakan.,Sudah ada tetapi masih digunakan secara terbatas,Sudah ada dan digunakan secara optimal (menggunakan sebagaian besar fasilitas yang disediakan)
Teknologi,8.1. Perangkat Lunak,Monitoring dan Evaluasi,Apakah organisasi telah memiliki dan menggunakan perangkat untuk melakukan monitoring dan evaluasi?,Belum ada,Sedang diupayakan untuk dimiliki,Sudah ada tetapi belum digunakan.,Sudah ada tetapi masih digunakan secara terbatas,Sudah ada dan digunakan secara optimal (menggunakan sebagaian besar fasilitas yang disediakan)
Teknologi,8.2. Perangkat Keras,Server,Bagaimana layanan server dalam mendukung kegiatan organisasi? ,Belum ada,"Ada, namun kondisi rusak","Ada, Kondisi tidak stabil dan tidak terawat","Ada, Kondisi baik namun perawatan jarang","Ada, kondisi baik dan perawatan berkala"
Teknologi,8.2. Perangkat Keras,Laptop,Bagaimana ketersedian laptop dalam mendukung kegiatan organisasi?,Belum ada,Spesifkasi tidak memenuhi,Spesifikasi memenuhi dengan jumlah yang masih kurang,Spesifikasi memenuhi dengan jumlah yang masih mendekati cukup,Sepsifikasi dan jumlah yang lebih dari cukup
Teknologi,8.2. Perangkat Keras,Ketersediaan Ruang Kerja,Apakah tersedia ruang kerja untuk mendukung kegiatan organisasi?,Belum ada,Sudah tersedia namun tidak terawat,Tersedia dan dimanfaatkan kadang-kadang,Tersedia dan dimanfaatkan dengan intensitas lebih sering,Secara reguler telah dimanfaatkan
Teknologi,8.3. Perangkat Jaringan,Jaringan internet,Apakah sudah ada jaringan internet yang memadai?,"Belum ada, kendala jaringan umum pada tingkat wilayah",Sedang dilakukan pemasangan jaringan internet,Kualitas Jaringan internet belum dapat diketahui secara pasti,"Jaringan internet cukup memadai, dan relatif stabil walaupun kadang-kadang ada kendala","Jaringan internet cukup memadai, bandwith, dan stabil koneksinya"
Teknologi,8.3. Perangkat Jaringan,Interkoneksi dengan instansi/OPD,Adakah interkoneksi dengan instansi lain/OPD melalui LAN/WAN?,Belum terkoneksi,"Ada, namun kondisi rusak","Ada, kondisi tidak stabil dan tidak terawat","Ada, kondisi baik namun perawatan jarang","Ada, kondisi baik dan perawatan berkala"
